Resource key,Old English,New English
hidden_repositories_empty_subtitle,(new),No hidden repos
storage,Storage,Storage
downloaded_packages,Downloaded packages,Downloaded APKs
downloaded_packages_description,Installer files kept for resumed updates.,We keep installers around so updates resume fast.
current_size,Current size:,Using:
section_privacy_screen_title,(new),Privacy
privacy_entry_subtitle,(new),Compact dynamic state — see §3.9
privacy_usage_data_subheader,(new),Usage data
privacy_telemetry_title,(new),Share anonymous usage data
privacy_telemetry_subtitle,(new),Help us understand which features get used.
privacy_telemetry_collect_expand,(new),What we collect
privacy_telemetry_collect_body,(new),App version. OS and platform. Feature usage counts. No repo names. No tokens. No identifiers.
privacy_telemetry_on_snackbar,(new),Sharing usage data starting next launch.
privacy_telemetry_off_snackbar,(new),Usage data sharing stopped. Existing data is dropped.
auto_detect_clipboard_links,Auto-detect clipboard links,Detect repo links in clipboard
auto_detect_clipboard_description,Detect copied repo URLs and offer to open them.,"When you copy a github.com or codeberg.org link, we'll prompt to open it."
privacy_history_subheader,(new),Browsing history
hide_seen_title,Hide seen,Hide repos I've already viewed
hide_seen_description,Skip already-viewed repos in feeds.,Skip seen repos in feeds and search.
clear_seen_history,Clear seen history,Clear viewed history
clear_seen_history_description,Reset the seen-repo list.,Forget which repos you've already opened.
clear_seen_history_confirm,(new),Clear all viewed history? This won't unstar or unfavorite anything.
host_tokens_count (plural),(new),%d token / %d tokens
host_tokens_empty_subtitle,(new),No tokens yet
section_about,About,App info
app_info_tagline,(new),"Cross-platform app store for GitHub, Codeberg, and Forgejo releases."
app_info_action_whats_new,(new),What's new
app_info_action_whats_new_subtitle,(new),Past release notes.
app_info_action_licenses,(new),Open source licenses
app_info_action_licenses_subtitle,(new),Libraries used in the app.
app_info_action_privacy_policy,(new),Privacy policy
app_info_action_privacy_policy_subtitle,(new),View on github-store.org.
app_info_action_source_code,(new),Source code on GitHub
app_info_action_source_code_subtitle,(new),View this app's source.
app_info_version_copied,(new),Version copied.
version,Version,Version
feedback_send,Send feedback,Send feedback
feedback_hub_subtitle,(new),We read every report.
tweaks_search_placeholder,(new),Search settings
tweaks_search_empty,(new),No settings match '%1$s'.
restart_banner_body,(new),Some changes need a restart to apply.
restart_banner_reasons_prefix,(new),Affected: %1$s
restart_banner_reason_language,(new),language
restart_banner_reason_theme,(new),theme
restart_banner_reason_telemetry,(new),usage data
restart_banner_restart_now,(new),Restart now
restart_banner_later,(new),Later
menubar_help_menu,(new),Help
menubar_help_about,(new),About GitHub Store
menubar_help_feedback,(new),Send feedback…
menubar_help_licenses,(new),Open source licenses
menubar_help_privacy,(new),Privacy policy
